Country,Restrictions,Year,Halfyear
New Caledonia,12,2020,H2
New Zealand,17,2020,H2
Nicaragua,12,2020,H2
Niger,12,2020,H2
Nigeria,12,2020,H2
Niue,12,2020,H2
Norfolk Island,12,2020,H2
North Korea,12,2020,H2
Northern Mariana Islands,12,2020,H2
Norway,12,2020,H2
Oman,12,2020,H2
Pakistan,1664,2020,H2
Palau,12,2020,H2
Palestine,12,2020,H2
Panama,12,2020,H2
Papua New Guinea,12,2020,H2
Paraguay,12,2020,H2
Peru,12,2020,H2
Philippines,12,2020,H2
Pitcairn,12,2020,H2
Poland,23,2020,H2
Portugal,12,2020,H2
Puerto Rico,12,2020,H2
Qatar,12,2020,H2
Republic of the Congo,12,2020,H2
Reunion,12,2020,H2
Romania,12,2020,H2
Russia,1880,2020,H2
Rwanda,12,2020,H2
Saint Barthelemy,12,2020,H2
Saint Helena,12,2020,H2
Saint Kitts and Nevis,12,2020,H2
Saint Martin,12,2020,H2
Saint Pierre and Miquelon,12,2020,H2
Saint Vincent and the Grenadines,12,2020,H2
Samoa,12,2020,H2
San Marino,12,2020,H2
Sao Tome and Principe,12,2020,H2
Saudi Arabia,12,2020,H2
Senegal,12,2020,H2
Serbia,12,2020,H2
Seychelles,12,2020,H2
Sierra Leone,12,2020,H2
Singapore,287,2020,H2
Sint Maarten,12,2020,H2
Slovakia,13,2020,H2
Slovenia,12,2020,H2
Solomon Islands,12,2020,H2
Somalia,12,2020,H2
South Africa,12,2020,H2
South Georgia and the South Sandwich Islands,12,2020,H2
South Korea,130,2020,H2
South Sudan,12,2020,H2
Spain,43,2020,H2
Sri Lanka,1656,2020,H2
St. Lucia,12,2020,H2
Sudan,12,2020,H2
Suriname,12,2020,H2
Svalbard and Jan Mayen,12,2020,H2
Swaziland,12,2020,H2
Sweden,12,2020,H2
Switzerland,21,2020,H2
Syria,12,2020,H2
Taiwan,21,2020,H2
Tajikistan,12,2020,H2
Tanzania,12,2020,H2
Thailand,1758,2020,H2
The Bahamas,12,2020,H2
The Gambia,12,2020,H2
Timor-Leste,12,2020,H2
Togo,12,2020,H2
Tokelau,12,2020,H2
Tonga,12,2020,H2
Trinidad and Tobago,12,2020,H2
Tunisia,12,2020,H2
Turkey,1631,2020,H2
Turkmenistan,12,2020,H2
Turks and Caicos Islands,12,2020,H2
Tuvalu,12,2020,H2
US Virgin Islands,12,2020,H2
Uganda,12,2020,H2
Ukraine,12,2020,H2
United Arab Emirates,12,2020,H2
United Kingdom,6080,2020,H2
United States,12,2020,H2
United States Minor Outlying Islands,12,2020,H2
Uruguay,12,2020,H2
Uzbekistan,15,2020,H2
Vanuatu,12,2020,H2
Vatican City,12,2020,H2
Venezuela,12,2020,H2
Vietnam,2217,2020,H2
Wallis and Futuna,12,2020,H2
Western Sahara,12,2020,H2
Yemen,12,2020,H2
Zambia,12,2020,H2
Zimbabwe,12,2020,H2
