Date,Artist,Song,Weeks
4/11/2005,50 Cent Featuring Olivia,Candy Shop,11
4/18/2005,50 Cent Featuring Olivia,Candy Shop,12
4/25/2005,50 Cent Featuring Olivia,Candy Shop,13
5/2/2005,Gwen Stefani,Hollaback Girl,6
5/9/2005,Gwen Stefani,Hollaback Girl,7
5/16/2005,Gwen Stefani,Hollaback Girl,8
5/23/2005,Gwen Stefani,Hollaback Girl,9
5/30/2005,Mariah Carey,We Belong Together,8
6/6/2005,Mariah Carey,We Belong Together,9
6/13/2005,Mariah Carey,We Belong Together,10
6/20/2005,Mariah Carey,We Belong Together,11
6/27/2005,Carrie Underwood,Inside Your Heaven,1
7/4/2005,Mariah Carey,We Belong Together,13
7/11/2005,Mariah Carey,We Belong Together,14
7/18/2005,Mariah Carey,We Belong Together,15
7/25/2005,Mariah Carey,We Belong Together,16
8/1/2005,Mariah Carey,We Belong Together,17
8/8/2005,Mariah Carey,We Belong Together,18
8/15/2005,Mariah Carey,We Belong Together,19
8/22/2005,Mariah Carey,We Belong Together,20
8/29/2005,Mariah Carey,We Belong Together,21
9/5/2005,Mariah Carey,We Belong Together,22
9/12/2005,Kanye West Featuring Jamie Foxx,Gold Digger,8
9/19/2005,Kanye West Featuring Jamie Foxx,Gold Digger,9
9/26/2005,Kanye West Featuring Jamie Foxx,Gold Digger,10
10/3/2005,Kanye West Featuring Jamie Foxx,Gold Digger,11
10/10/2005,Kanye West Featuring Jamie Foxx,Gold Digger,12
10/17/2005,Kanye West Featuring Jamie Foxx,Gold Digger,13
10/24/2005,Kanye West Featuring Jamie Foxx,Gold Digger,14
10/31/2005,Kanye West Featuring Jamie Foxx,Gold Digger,15
11/7/2005,Kanye West Featuring Jamie Foxx,Gold Digger,16
11/14/2005,Kanye West Featuring Jamie Foxx,Gold Digger,17
11/21/2005,Chris Brown,Run It!,14
11/28/2005,Chris Brown,Run It!,15
12/5/2005,Chris Brown,Run It!,16
12/12/2005,Chris Brown,Run It!,17
12/19/2005,Chris Brown,Run It!,18
12/26/2005,Mariah Carey,Don't Forget About Us,11
1/2/2006,Mariah Carey,Don't Forget About Us,12
1/9/2006,D4L,Laffy Taffy,16
1/16/2006,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,10
1/23/2006,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,11
1/30/2006,Beyonce Featuring Slim Thug,Check On It,12
2/6/2006,Beyonce Featuring Slim Thug,Check On It,13
2/13/2006,Beyonce Featuring Slim Thug,Check On It,14
2/20/2006,Beyonce Featuring Slim Thug,Check On It,15
2/27/2006,Beyonce Featuring Slim Thug,Check On It,16
3/6/2006,James Blunt,You're Beautiful,18
3/13/2006,Ne-Yo,So Sick,15
3/20/2006,Ne-Yo,So Sick,16
3/27/2006,Sean Paul,Temperature,11
4/3/2006,Daniel Powter,Bad Day,7
4/10/2006,Daniel Powter,Bad Day,8
4/17/2006,Daniel Powter,Bad Day,9
4/24/2006,Daniel Powter,Bad Day,10
5/1/2006,Daniel Powter,Bad Day,11
5/8/2006,Rihanna,SOS,12
5/15/2006,Rihanna,SOS,13
5/22/2006,Rihanna,SOS,14
5/29/2006,Chamillionaire Featuring Krayzie Bone,Ridin',14
6/5/2006,Chamillionaire Featuring Krayzie Bone,Ridin',15
6/12/2006,Shakira Featuring Wyclef Jean,Hips Don't Lie,12
6/19/2006,Shakira Featuring Wyclef Jean,Hips Don't Lie,13
6/26/2006,Taylor Hicks,Do I Make You Proud,1
7/3/2006,Nelly Furtado Featuring Timbaland,Promiscuous,8
7/10/2006,Nelly Furtado Featuring Timbaland,Promiscuous,9
7/17/2006,Nelly Furtado Featuring Timbaland,Promiscuous,10
7/24/2006,Nelly Furtado Featuring Timbaland,Promiscuous,11
7/31/2006,Nelly Furtado Featuring Timbaland,Promiscuous,12
8/7/2006,Nelly Furtado Featuring Timbaland,Promiscuous,13
8/14/2006,Fergie,London Bridge,3
8/21/2006,Fergie,London Bridge,4
8/28/2006,Fergie,London Bridge,5
9/4/2006,Justin Timberlake,SexyBack,8
9/11/2006,Justin Timberlake,SexyBack,9
9/18/2006,Justin Timberlake,SexyBack,10
9/25/2006,Justin Timberlake,SexyBack,11
10/2/2006,Justin Timberlake,SexyBack,12
10/9/2006,Justin Timberlake,SexyBack,13
10/16/2006,Justin Timberlake,SexyBack,14
10/23/2006,Ludacris Featuring Pharrell,Money Maker,10
10/30/2006,Ludacris Featuring Pharrell,Money Maker,11
11/6/2006,Justin Timberlake Featuring T.I.,My Love,8
11/13/2006,Justin Timberlake Featuring T.I.,My Love,9
11/20/2006,Justin Timberlake Featuring T.I.,My Love,10
11/27/2006,Akon Featuring Snoop Dogg,I Wanna Love You,8
12/4/2006,Akon Featuring Snoop Dogg,I Wanna Love You,9
12/11/2006,Beyonce,Irreplaceable,7
12/18/2006,Beyonce,Irreplaceable,8
12/25/2006,Beyonce,Irreplaceable,9
1/1/2007,Beyonce,Irreplaceable,10
1/8/2007,Beyonce,Irreplaceable,11
1/15/2007,Beyonce,Irreplaceable,12
1/22/2007,Beyonce,Irreplaceable,13
1/29/2007,Beyonce,Irreplaceable,14
2/5/2007,Beyonce,Irreplaceable,15
2/12/2007,Beyonce,Irreplaceable,16
2/19/2007,Nelly Furtado,Say It Right,14
2/26/2007,Justin Timberlake,What Goes Around...Comes Around,11
3/5/2007,Mims,This Is Why I'm Hot,6
3/12/2007,Mims,This Is Why I'm Hot,7
3/19/2007,Fergie Featuring Ludacris,Glamorous,9
3/26/2007,Fergie Featuring Ludacris,Glamorous,10
4/2/2007,Akon,Don't Matter,10
4/9/2007,Akon,Don't Matter,11
4/16/2007,Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me,9
4/23/2007,Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me,10
4/30/2007,Avril Lavigne,Girlfriend,8
5/7/2007,Maroon 5,Makes Me Wonder,4
5/14/2007,Maroon 5,Makes Me Wonder,5
5/21/2007,T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin'),12
5/28/2007,Maroon 5,Makes Me Wonder,7
6/4/2007,Rihanna Featuring Jay-Z,Umbrella,7
6/11/2007,Rihanna Featuring Jay-Z,Umbrella,8
6/18/2007,Rihanna Featuring Jay-Z,Umbrella,9
6/25/2007,Rihanna Featuring Jay-Z,Umbrella,10
7/2/2007,Rihanna Featuring Jay-Z,Umbrella,11
7/9/2007,Rihanna Featuring Jay-Z,Umbrella,12
7/16/2007,Rihanna Featuring Jay-Z,Umbrella,13
7/23/2007,Plain White T's,Hey There Delilah,16
7/30/2007,Plain White T's,Hey There Delilah,17
8/6/2007,Sean Kingston,Beautiful Girls,10
8/13/2007,Sean Kingston,Beautiful Girls,11
8/20/2007,Sean Kingston,Beautiful Girls,12
8/27/2007,Sean Kingston,Beautiful Girls,13
9/3/2007,Fergie,Big Girls Don't Cry,19
9/10/2007,Soulja Boy Tell'em,Crank That (Soulja Boy),8
9/17/2007,Soulja Boy Tell'em,Crank That (Soulja Boy),9
9/24/2007,Kanye West,Stronger,8
10/1/2007,Soulja Boy Tell'em,Crank That (Soulja Boy),11
10/8/2007,Soulja Boy Tell'em,Crank That (Soulja Boy),12
10/15/2007,Soulja Boy Tell'em,Crank That (Soulja Boy),13
10/22/2007,Soulja Boy Tell'em,Crank That (Soulja Boy),14
10/29/2007,Soulja Boy Tell'em,Crank That (Soulja Boy),15
11/5/2007,Chris Brown Featuring T-Pain,Kiss Kiss,7
11/12/2007,Chris Brown Featuring T-Pain,Kiss Kiss,8
11/19/2007,Chris Brown Featuring T-Pain,Kiss Kiss,9
11/26/2007,Alicia Keys,No One,11
12/3/2007,Alicia Keys,No One,12
12/10/2007,Alicia Keys,No One,13
12/17/2007,Alicia Keys,No One,14
12/24/2007,Alicia Keys,No One,15
12/31/2007,Flo Rida Featuring T-Pain,Low,9
1/7/2008,Flo Rida Featuring T-Pain,Low,10
1/14/2008,Flo Rida Featuring T-Pain,Low,11
1/21/2008,Flo Rida Featuring T-Pain,Low,12
1/28/2008,Flo Rida Featuring T-Pain,Low,13
2/4/2008,Flo Rida Featuring T-Pain,Low,14
2/11/2008,Flo Rida Featuring T-Pain,Low,15
2/18/2008,Flo Rida Featuring T-Pain,Low,16
2/25/2008,Flo Rida Featuring T-Pain,Low,17
3/3/2008,Flo Rida Featuring T-Pain,Low,18
3/10/2008,Usher Featuring Young Jeezy,Love In This Club,3
3/17/2008,Usher Featuring Young Jeezy,Love In This Club,4
3/24/2008,Usher Featuring Young Jeezy,Love In This Club,5
3/31/2008,Leona Lewis,Bleeding Love,6
4/7/2008,Mariah Carey,Touch My Body,7
4/14/2008,Mariah Carey,Touch My Body,8
4/21/2008,Leona Lewis,Bleeding Love,9
4/28/2008,Lil Wayne Featuring Static Major,Lollipop,6
5/5/2008,Leona Lewis,Bleeding Love,11
5/12/2008,Leona Lewis,Bleeding Love,12
5/19/2008,Rihanna,Take A Bow,5
5/26/2008,Lil Wayne Featuring Static Major,Lollipop,10
6/2/2008,Lil Wayne Featuring Static Major,Lollipop,11
6/9/2008,Lil Wayne Featuring Static Major,Lollipop,12
6/16/2008,Lil Wayne Featuring Static Major,Lollipop,13
6/23/2008,Coldplay,Viva La Vida,6
6/30/2008,Katy Perry,I Kissed A Girl,7
7/7/2008,Katy Perry,I Kissed A Girl,8
7/14/2008,Katy Perry,I Kissed A Girl,9
7/21/2008,Katy Perry,I Kissed A Girl,10
7/28/2008,Katy Perry,I Kissed A Girl,11
8/4/2008,Katy Perry,I Kissed A Girl,12
8/11/2008,Katy Perry,I Kissed A Girl,13
8/18/2008,Rihanna,Disturbia,8
8/25/2008,Rihanna,Disturbia,9
9/1/2008,T.I.,Whatever You Like,3
9/8/2008,T.I.,Whatever You Like,4
9/15/2008,T.I.,Whatever You Like,5
9/22/2008,P!nk,So What,4
9/29/2008,T.I.,Whatever You Like,7
10/6/2008,T.I.,Whatever You Like,8
10/13/2008,T.I. Featuring Rihanna,Live Your Life,2
10/20/2008,Britney Spears,Womanizer,2
10/27/2008,T.I.,Whatever You Like,11
11/3/2008,T.I.,Whatever You Like,12
11/10/2008,T.I. Featuring Rihanna,Live Your Life,6
11/17/2008,T.I. Featuring Rihanna,Live Your Life,7
11/24/2008,T.I. Featuring Rihanna,Live Your Life,8
12/1/2008,T.I. Featuring Rihanna,Live Your Life,9
12/8/2008,Beyonce,Single Ladies (Put A Ring On It),7
12/15/2008,T.I. Featuring Rihanna,Live Your Life,11
12/22/2008,Beyonce,Single Ladies (Put A Ring On It),9
12/29/2008,Beyonce,Single Ladies (Put A Ring On It),10
1/5/2009,Beyonce,Single Ladies (Put A Ring On It),11
1/12/2009,Lady Gaga Featuring Colby O'Donis,Just Dance,22
1/19/2009,Lady Gaga Featuring Colby O'Donis,Just Dance,23
1/26/2009,Lady Gaga Featuring Colby O'Donis,Just Dance,24
2/2/2009,Kelly Clarkson,My Life Would Suck Without You,2
2/9/2009,Kelly Clarkson,My Life Would Suck Without You,3
2/16/2009,"Eminem, Dr. Dre & 50 Cent",Crack A Bottle,4
2/23/2009,Flo Rida,Right Round,3
3/2/2009,Flo Rida,Right Round,4
3/9/2009,Flo Rida,Right Round,5
3/16/2009,Flo Rida,Right Round,6
3/23/2009,Flo Rida,Right Round,7
3/30/2009,Flo Rida,Right Round,8
4/6/2009,Lady Gaga,Poker Face,15
4/13/2009,The Black Eyed Peas,Boom Boom Pow,4
4/20/2009,The Black Eyed Peas,Boom Boom Pow,5
4/27/2009,The Black Eyed Peas,Boom Boom Pow,6
5/4/2009,The Black Eyed Peas,Boom Boom Pow,7
5/11/2009,The Black Eyed Peas,Boom Boom Pow,8
5/18/2009,The Black Eyed Peas,Boom Boom Pow,9
5/25/2009,The Black Eyed Peas,Boom Boom Pow,10
6/1/2009,The Black Eyed Peas,Boom Boom Pow,11
6/8/2009,The Black Eyed Peas,Boom Boom Pow,12
6/15/2009,The Black Eyed Peas,Boom Boom Pow,13
6/22/2009,The Black Eyed Peas,Boom Boom Pow,14
6/29/2009,The Black Eyed Peas,Boom Boom Pow,15
7/6/2009,The Black Eyed Peas,I Gotta Feeling,3
7/13/2009,The Black Eyed Peas,I Gotta Feeling,4
7/20/2009,The Black Eyed Peas,I Gotta Feeling,5
7/27/2009,The Black Eyed Peas,I Gotta Feeling,6
8/3/2009,The Black Eyed Peas,I Gotta Feeling,7
8/10/2009,The Black Eyed Peas,I Gotta Feeling,8
8/17/2009,The Black Eyed Peas,I Gotta Feeling,9
8/24/2009,The Black Eyed Peas,I Gotta Feeling,10
8/31/2009,The Black Eyed Peas,I Gotta Feeling,11
9/7/2009,The Black Eyed Peas,I Gotta Feeling,12
9/14/2009,The Black Eyed Peas,I Gotta Feeling,13
9/21/2009,The Black Eyed Peas,I Gotta Feeling,14
9/28/2009,The Black Eyed Peas,I Gotta Feeling,15
10/5/2009,The Black Eyed Peas,I Gotta Feeling,16
10/12/2009,Jay Sean Featuring Lil Wayne,Down,14
10/19/2009,Britney Spears,3,1
10/26/2009,Jay Sean Featuring Lil Wayne,Down,16
11/2/2009,Owl City,Fireflies,10
11/9/2009,Jason Derulo,Whatcha Say,12
11/16/2009,Owl City,Fireflies,12
11/23/2009,Jay-Z + Alicia Keys,Empire State Of Mind,10
11/30/2009,Jay-Z + Alicia Keys,Empire State Of Mind,11
12/7/2009,Jay-Z + Alicia Keys,Empire State Of Mind,12
12/14/2009,Jay-Z + Alicia Keys,Empire State Of Mind,13
12/21/2009,Jay-Z + Alicia Keys,Empire State Of Mind,14
12/28/2009,Ke$ha,TiK ToK,11
1/4/2010,Ke$ha,TiK ToK,12
1/11/2010,Ke$ha,TiK ToK,13
1/18/2010,Ke$ha,TiK ToK,14
1/25/2010,Ke$ha,TiK ToK,15
2/1/2010,Ke$ha,TiK ToK,16
2/8/2010,Ke$ha,TiK ToK,17
2/15/2010,Ke$ha,TiK ToK,18
2/22/2010,Ke$ha,TiK ToK,19
3/1/2010,The Black Eyed Peas,Imma Be,12
3/8/2010,The Black Eyed Peas,Imma Be,13
3/15/2010,Taio Cruz Featuring Ludacris,Break Your Heart,2
3/22/2010,Rihanna,Rude Boy,5
3/29/2010,Rihanna,Rude Boy,6
4/5/2010,Rihanna,Rude Boy,7
4/12/2010,Rihanna,Rude Boy,8
4/19/2010,Rihanna,Rude Boy,9
4/26/2010,B.o.B Featuring Bruno Mars,Nothin' On You,12
5/3/2010,B.o.B Featuring Bruno Mars,Nothin' On You,13
5/10/2010,Usher Featuring will.i.am,OMG,5
5/17/2010,Eminem,Not Afraid,1
5/24/2010,Usher Featuring will.i.am,OMG,7
5/31/2010,Usher Featuring will.i.am,OMG,8
6/7/2010,Usher Featuring will.i.am,OMG,9
6/14/2010,Katy Perry Featuring Snoop Dogg,California Gurls,4
6/21/2010,Katy Perry Featuring Snoop Dogg,California Gurls,5
6/28/2010,Katy Perry Featuring Snoop Dogg,California Gurls,6
7/5/2010,Katy Perry Featuring Snoop Dogg,California Gurls,7
7/12/2010,Katy Perry Featuring Snoop Dogg,California Gurls,8
7/19/2010,Katy Perry Featuring Snoop Dogg,California Gurls,9
7/26/2010,Eminem Featuring Rihanna,Love The Way You Lie,4
8/2/2010,Eminem Featuring Rihanna,Love The Way You Lie,5
8/9/2010,Eminem Featuring Rihanna,Love The Way You Lie,6
8/16/2010,Eminem Featuring Rihanna,Love The Way You Lie,7
8/23/2010,Eminem Featuring Rihanna,Love The Way You Lie,8
8/30/2010,Eminem Featuring Rihanna,Love The Way You Lie,9
9/6/2010,Eminem Featuring Rihanna,Love The Way You Lie,10
9/13/2010,Katy Perry,Teenage Dream,7
9/20/2010,Katy Perry,Teenage Dream,8
9/27/2010,Bruno Mars,Just The Way You Are,9
10/4/2010,Bruno Mars,Just The Way You Are,10
10/11/2010,Bruno Mars,Just The Way You Are,11
10/18/2010,Bruno Mars,Just The Way You Are,12
10/25/2010,Far*East Movement Featuring Cataracs & Dev,Like A G6,10
11/1/2010,Far*East Movement Featuring Cataracs & Dev,Like A G6,11
11/8/2010,Ke$ha,We R Who We R,1
11/15/2010,Rihanna Featuring Drake,What's My Name?,3
11/22/2010,Far*East Movement Featuring Cataracs & Dev,Like A G6,14
11/29/2010,Rihanna,Only Girl (In The World),11
12/6/2010,P!nk,Raise Your Glass,8
12/13/2010,Katy Perry,Firework,7
12/20/2010,Katy Perry,Firework,8
12/27/2010,Katy Perry,Firework,9
1/3/2011,Bruno Mars,Grenade,13
1/10/2011,Katy Perry,Firework,11
1/17/2011,Bruno Mars,Grenade,15
1/24/2011,Britney Spears,Hold It Against Me,1
1/31/2011,Bruno Mars,Grenade,17
2/7/2011,Bruno Mars,Grenade,18
2/14/2011,Wiz Khalifa,Black And Yellow,18
2/21/2011,Lady Gaga,Born This Way,1
2/28/2011,Lady Gaga,Born This Way,2
3/7/2011,Lady Gaga,Born This Way,3
3/14/2011,Lady Gaga,Born This Way,4
3/21/2011,Lady Gaga,Born This Way,5
3/28/2011,Lady Gaga,Born This Way,6
4/4/2011,Katy Perry Featuring Kanye West,E.T.,7
4/11/2011,Katy Perry Featuring Kanye West,E.T.,8
4/18/2011,Katy Perry Featuring Kanye West,E.T.,9
4/25/2011,Rihanna Featuring Britney Spears,S&M,14
5/2/2011,Katy Perry Featuring Kanye West,E.T.,11
5/9/2011,Katy Perry Featuring Kanye West,E.T.,12
5/16/2011,Adele,Rolling In The Deep,18
5/23/2011,Adele,Rolling In The Deep,19
5/30/2011,Adele,Rolling In The Deep,20
6/6/2011,Adele,Rolling In The Deep,21
6/13/2011,Adele,Rolling In The Deep,22
6/20/2011,Adele,Rolling In The Deep,23
6/27/2011,Adele,Rolling In The Deep,24
7/4/2011,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Give Me Everything,13
7/11/2011,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,15
7/18/2011,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,16
7/25/2011,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,17
8/1/2011,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,18
8/8/2011,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,19
8/15/2011,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,20
8/22/2011,Katy Perry,Last Friday Night (T.G.I.F.),12
8/29/2011,Katy Perry,Last Friday Night (T.G.I.F.),13
9/5/2011,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,10
9/12/2011,Adele,Someone Like You,9
9/19/2011,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,12
9/26/2011,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,13
10/3/2011,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,14
10/10/2011,Adele,Someone Like You,13
10/17/2011,Adele,Someone Like You,14
10/24/2011,Adele,Someone Like You,15
10/31/2011,Adele,Someone Like You,16
11/7/2011,Rihanna Featuring Calvin Harris,We Found Love,6
11/14/2011,Rihanna Featuring Calvin Harris,We Found Love,7
11/21/2011,Rihanna Featuring Calvin Harris,We Found Love,8
11/28/2011,Rihanna Featuring Calvin Harris,We Found Love,9
12/5/2011,Rihanna Featuring Calvin Harris,We Found Love,10
12/12/2011,Rihanna Featuring Calvin Harris,We Found Love,11
12/19/2011,Rihanna Featuring Calvin Harris,We Found Love,12
12/26/2011,Rihanna Featuring Calvin Harris,We Found Love,13
1/2/2012,LMFAO,Sexy And I Know It,17
1/9/2012,LMFAO,Sexy And I Know It,18
1/16/2012,Rihanna Featuring Calvin Harris,We Found Love,16
1/23/2012,Rihanna Featuring Calvin Harris,We Found Love,17
1/30/2012,Adele,Set Fire To The Rain,21
2/6/2012,Adele,Set Fire To The Rain,22
2/13/2012,Kelly Clarkson,Stronger (What Doesn't Kill You),7
2/20/2012,Kelly Clarkson,Stronger (What Doesn't Kill You),8
2/27/2012,Katy Perry,Part Of Me,1
3/5/2012,Kelly Clarkson,Stronger (What Doesn't Kill You),10
3/12/2012,fun. Featuring Janelle Monae,We Are Young,11
3/19/2012,fun. Featuring Janelle Monae,We Are Young,12
3/26/2012,fun. Featuring Janelle Monae,We Are Young,13
4/2/2012,fun. Featuring Janelle Monae,We Are Young,14
4/9/2012,fun. Featuring Janelle Monae,We Are Young,15
4/16/2012,fun. Featuring Janelle Monae,We Are Young,16
4/23/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,15
4/30/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,16
5/7/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,17
5/14/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,18
5/21/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,19
5/28/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,20
6/4/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,21
6/11/2012,Gotye Featuring Kimbra,Somebody That I Used To Know,22
6/18/2012,Carly Rae Jepsen,Call Me Maybe,16
6/25/2012,Carly Rae Jepsen,Call Me Maybe,17
7/2/2012,Carly Rae Jepsen,Call Me Maybe,18
7/9/2012,Carly Rae Jepsen,Call Me Maybe,19
7/16/2012,Carly Rae Jepsen,Call Me Maybe,20
7/23/2012,Carly Rae Jepsen,Call Me Maybe,21
7/30/2012,Carly Rae Jepsen,Call Me Maybe,22
8/6/2012,Carly Rae Jepsen,Call Me Maybe,23
8/13/2012,Carly Rae Jepsen,Call Me Maybe,24
8/20/2012,Flo Rida,Whistle,13
8/27/2012,Taylor Swift,We Are Never Ever Getting Back Together,2
9/3/2012,Taylor Swift,We Are Never Ever Getting Back Together,3
9/10/2012,Flo Rida,Whistle,16
9/17/2012,Taylor Swift,We Are Never Ever Getting Back Together,5
9/24/2012,Maroon 5,One More Night,13
10/1/2012,Maroon 5,One More Night,14
10/8/2012,Maroon 5,One More Night,15
10/15/2012,Maroon 5,One More Night,16
10/22/2012,Maroon 5,One More Night,17
10/29/2012,Maroon 5,One More Night,18
11/5/2012,Maroon 5,One More Night,19
11/12/2012,Maroon 5,One More Night,20
11/19/2012,Maroon 5,One More Night,21
11/26/2012,Rihanna,Diamonds,8
12/3/2012,Rihanna,Diamonds,9
12/10/2012,Rihanna,Diamonds,10
12/17/2012,Bruno Mars,Locked Out Of Heaven,10
12/24/2012,Bruno Mars,Locked Out Of Heaven,11
12/31/2012,Bruno Mars,Locked Out Of Heaven,12
1/7/2013,Bruno Mars,Locked Out Of Heaven,13
1/14/2013,Bruno Mars,Locked Out Of Heaven,14
1/21/2013,Bruno Mars,Locked Out Of Heaven,15
1/28/2013,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,16
2/4/2013,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,17
2/11/2013,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,18
2/18/2013,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,19
2/25/2013,Baauer,Harlem Shake,1
3/4/2013,Baauer,Harlem Shake,2
3/11/2013,Baauer,Harlem Shake,3
3/18/2013,Baauer,Harlem Shake,4
3/25/2013,Baauer,Harlem Shake,5
4/1/2013,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,25
4/8/2013,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,26
4/15/2013,Bruno Mars,When I Was Your Man,16
4/22/2013,P!nk Featuring Nate Ruess,Just Give Me A Reason,9
4/29/2013,P!nk Featuring Nate Ruess,Just Give Me A Reason,10
5/6/2013,P!nk Featuring Nate Ruess,Just Give Me A Reason,11
5/13/2013,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,13
5/20/2013,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,14
5/27/2013,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,15
6/3/2013,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,16
6/10/2013,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,17
6/17/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,8
6/24/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,9
7/1/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,10
7/8/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,11
7/15/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,12
7/22/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,13
7/29/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,14
8/5/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,15
8/12/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,16
8/19/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,17
8/26/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,18
9/2/2013,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,19
9/9/2013,Katy Perry,Roar,4
9/16/2013,Katy Perry,Roar,5
9/23/2013,Miley Cyrus,Wrecking Ball,4
9/30/2013,Miley Cyrus,Wrecking Ball,5
10/7/2013,Lorde,Royals,13
10/14/2013,Lorde,Royals,14
10/21/2013,Lorde,Royals,15
10/28/2013,Lorde,Royals,16
11/4/2013,Lorde,Royals,17
11/11/2013,Lorde,Royals,18
11/18/2013,Lorde,Royals,19
11/25/2013,Lorde,Royals,20
12/2/2013,Lorde,Royals,21
12/9/2013,Miley Cyrus,Wrecking Ball,15
12/16/2013,Eminem Featuring Rihanna,The Monster,6
12/23/2013,Eminem Featuring Rihanna,The Monster,7
12/30/2013,Eminem Featuring Rihanna,The Monster,8
1/6/2014,Eminem Featuring Rihanna,The Monster,9
1/13/2014,Pitbull Featuring Ke$ha,Timber,13
1/20/2014,Pitbull Featuring Ke$ha,Timber,14
1/27/2014,Pitbull Featuring Ke$ha,Timber,15
2/3/2014,Katy Perry Featuring Juicy J,Dark Horse,19
2/10/2014,Katy Perry Featuring Juicy J,Dark Horse,20
2/17/2014,Katy Perry Featuring Juicy J,Dark Horse,21
2/24/2014,Katy Perry Featuring Juicy J,Dark Horse,22
3/3/2014,Pharrell Williams,Happy,8
3/10/2014,Pharrell Williams,Happy,9
3/17/2014,Pharrell Williams,Happy,10
3/24/2014,Pharrell Williams,Happy,11
3/31/2014,Pharrell Williams,Happy,12
4/7/2014,Pharrell Williams,Happy,13
4/14/2014,Pharrell Williams,Happy,14
4/21/2014,Pharrell Williams,Happy,15
4/28/2014,Pharrell Williams,Happy,16
5/5/2014,Pharrell Williams,Happy,17
5/12/2014,John Legend,All Of Me,30
5/19/2014,John Legend,All Of Me,31
5/26/2014,John Legend,All Of Me,32
6/2/2014,Iggy Azalea Featuring Charli XCX,Fancy,12
6/9/2014,Iggy Azalea Featuring Charli XCX,Fancy,13
6/16/2014,Iggy Azalea Featuring Charli XCX,Fancy,14
6/23/2014,Iggy Azalea Featuring Charli XCX,Fancy,15
6/30/2014,Iggy Azalea Featuring Charli XCX,Fancy,16
7/7/2014,Iggy Azalea Featuring Charli XCX,Fancy,17
7/14/2014,Iggy Azalea Featuring Charli XCX,Fancy,18
7/21/2014,MAGIC!,Rude,12
7/28/2014,MAGIC!,Rude,13
8/4/2014,MAGIC!,Rude,14
8/11/2014,MAGIC!,Rude,15
8/18/2014,MAGIC!,Rude,16
8/25/2014,MAGIC!,Rude,17
9/1/2014,Taylor Swift,Shake It Off,1
9/8/2014,Taylor Swift,Shake It Off,2
9/15/2014,Meghan Trainor,All About That Bass,9
9/22/2014,Meghan Trainor,All About That Bass,10
9/29/2014,Meghan Trainor,All About That Bass,11
10/6/2014,Meghan Trainor,All About That Bass,12
10/13/2014,Meghan Trainor,All About That Bass,13
10/20/2014,Meghan Trainor,All About That Bass,14
