Date,Artist,Song,Weeks
1/15/1990,Michael Bolton,How Am I Supposed To Live Without You,13
1/22/1990,Michael Bolton,How Am I Supposed To Live Without You,14
1/29/1990,Michael Bolton,How Am I Supposed To Live Without You,15
2/5/1990,Paula Abdul (Duet With The Wild Pair),Opposites Attract,9
2/12/1990,Paula Abdul (Duet With The Wild Pair),Opposites Attract,10
2/19/1990,Paula Abdul (Duet With The Wild Pair),Opposites Attract,11
2/26/1990,Janet Jackson,Escapade,7
3/5/1990,Janet Jackson,Escapade,8
3/12/1990,Janet Jackson,Escapade,9
3/19/1990,Alannah Myles,Black Velvet,12
3/26/1990,Alannah Myles,Black Velvet,13
4/2/1990,Taylor Dayne,Love Will Lead You Back,11
4/9/1990,Tommy Page,I'll Be Your Everything,9
4/16/1990,Sinead O'Connor,Nothing Compares 2 U,6
4/23/1990,Sinead O'Connor,Nothing Compares 2 U,7
4/30/1990,Sinead O'Connor,Nothing Compares 2 U,8
5/7/1990,Sinead O'Connor,Nothing Compares 2 U,9
5/14/1990,Madonna,Vogue,6
5/21/1990,Madonna,Vogue,7
5/28/1990,Madonna,Vogue,8
6/4/1990,Wilson Phillips,Hold On,13
6/11/1990,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",11
6/18/1990,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",12
6/25/1990,New Kids On The Block,Step By Step,6
7/2/1990,New Kids On The Block,Step By Step,7
7/9/1990,New Kids On The Block,Step By Step,8
7/16/1990,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,10
7/23/1990,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,11
7/30/1990,Mariah Carey,Vision Of Love,10
8/6/1990,Mariah Carey,Vision Of Love,11
8/13/1990,Mariah Carey,Vision Of Love,12
8/20/1990,Mariah Carey,Vision Of Love,13
8/27/1990,Sweet Sensation,If Wishes Came True,12
9/3/1990,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",8
9/10/1990,Wilson Phillips,Release Me,12
9/17/1990,Wilson Phillips,Release Me,13
9/24/1990,Nelson,(Can't Live Without Your) Love And Affection,13
10/1/1990,Maxi Priest,Close To You,15
10/8/1990,George Michael,Praying For Time,7
10/15/1990,James Ingram,I Don't Have The Heart,12
10/22/1990,Janet Jackson,Black Cat,7
10/29/1990,Vanilla Ice,Ice Ice Baby,9
11/5/1990,Mariah Carey,Love Takes Time,9
11/12/1990,Mariah Carey,Love Takes Time,10
11/19/1990,Mariah Carey,Love Takes Time,11
11/26/1990,Whitney Houston,I'm Your Baby Tonight,7
12/3/1990,Stevie B,Because I Love You (The Postman Song),10
12/10/1990,Stevie B,Because I Love You (The Postman Song),11
12/17/1990,Stevie B,Because I Love You (The Postman Song),12
12/24/1990,Stevie B,Because I Love You (The Postman Song),13
12/31/1990,Madonna,Justify My Love,8
1/7/1991,Madonna,Justify My Love,9
1/14/1991,Janet Jackson,Love Will Never Do (Without You),10
1/21/1991,Surface,The First Time,13
1/28/1991,Surface,The First Time,14
2/4/1991,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),13
2/11/1991,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),14
2/18/1991,Whitney Houston,All The Man That I Need,10
2/25/1991,Whitney Houston,All The Man That I Need,11
3/4/1991,Mariah Carey,Someday,8
3/11/1991,Mariah Carey,Someday,9
3/18/1991,Timmy T.,One More Try,14
3/25/1991,Gloria Estefan,Coming Out Of The Dark,10
4/1/1991,Gloria Estefan,Coming Out Of The Dark,11
4/8/1991,Londonbeat,I've Been Thinking About You,10
4/15/1991,Wilson Phillips,You're In Love,11
4/22/1991,Amy Grant,Baby Baby,10
4/29/1991,Amy Grant,Baby Baby,11
5/6/1991,Roxette,Joyride,11
5/13/1991,Hi-Five,I Like The Way (The Kissing Game),13
5/20/1991,Mariah Carey,I Don't Wanna Cry,8
5/27/1991,Mariah Carey,I Don't Wanna Cry,9
6/3/1991,Extreme,More Than Words,12
6/10/1991,Paula Abdul,Rush Rush,6
6/17/1991,Paula Abdul,Rush Rush,7
6/24/1991,Paula Abdul,Rush Rush,8
7/1/1991,Paula Abdul,Rush Rush,9
7/8/1991,Paula Abdul,Rush Rush,10
7/15/1991,EMF,Unbelievable,15
7/22/1991,Bryan Adams,(Everything I Do) I Do It For You,5
7/29/1991,Bryan Adams,(Everything I Do) I Do It For You,6
8/5/1991,Bryan Adams,(Everything I Do) I Do It For You,7
8/12/1991,Bryan Adams,(Everything I Do) I Do It For You,8
8/19/1991,Bryan Adams,(Everything I Do) I Do It For You,9
8/26/1991,Bryan Adams,(Everything I Do) I Do It For You,10
9/2/1991,Bryan Adams,(Everything I Do) I Do It For You,11
9/9/1991,Paula Abdul,The Promise Of A New Day,9
9/16/1991,Color Me Badd,I Adore Mi Amor,9
9/23/1991,Color Me Badd,I Adore Mi Amor,10
9/30/1991,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Good Vibrations,12
10/7/1991,Mariah Carey,Emotions,7
10/14/1991,Mariah Carey,Emotions,8
10/21/1991,Mariah Carey,Emotions,9
10/28/1991,Karyn White,Romantic,12
11/4/1991,Prince And The N.P.G.,Cream,7
11/11/1991,Prince And The N.P.G.,Cream,8
11/18/1991,Michael Bolton,When A Man Loves A Woman,7
11/25/1991,P.M. Dawn,Set Adrift On Memory Bliss,7
